source_system,source_flow,role,role_title,page,page_slug,section_count,faq_count,sections,page_url,widget_url,embed_url,api_url
Red Flag Alert,Flow2 / FieldRep,field_rep,Field Rep Support,Field Rep Password Setup & Verification Page,red-flag-alert-flow2-fieldrep-field-rep-password-setup-verification-page,1,3,Red Flag Alert / Access & Login,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-password-setup-verification-page/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-password-setup-verification-page/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-password-setup-verification-page/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep&embed=1,https://help.cpdinclinic.co.in/support/api/field_rep/pages/red-flag-alert-flow2-fieldrep-field-rep-password-setup-verification-page/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep
Red Flag Alert,Flow2 / FieldRep,field_rep,Field Rep Support,Field Rep Login Page,red-flag-alert-flow2-fieldrep-field-rep-login-page,1,3,Red Flag Alert / Access & Login,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-login-page/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-login-page/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-login-page/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep&embed=1,https://help.cpdinclinic.co.in/support/api/field_rep/pages/red-flag-alert-flow2-fieldrep-field-rep-login-page/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep
Red Flag Alert,Flow2 / FieldRep,field_rep,Field Rep Support,Field Rep Dashboard,red-flag-alert-flow2-fieldrep-field-rep-dashboard,3,16,Red Flag Alert / Actions & Navigation | Red Flag Alert / Doctor Search & Onboarding | Red Flag Alert / WhatsApp Sharing,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-dashboard/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-dashboard/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-dashboard/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep&embed=1,https://help.cpdinclinic.co.in/support/api/field_rep/pages/red-flag-alert-flow2-fieldrep-field-rep-dashboard/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep
Red Flag Alert,Flow2 / FieldRep,field_rep,Field Rep Support,Field Rep Clinic Asset Management Page,red-flag-alert-flow2-fieldrep-field-rep-clinic-asset-management-page,1,6,Red Flag Alert / QR / Asset Sharing,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-clinic-asset-management-page/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-clinic-asset-management-page/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-clinic-asset-management-page/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep&embed=1,https://help.cpdinclinic.co.in/support/api/field_rep/pages/red-flag-alert-flow2-fieldrep-field-rep-clinic-asset-management-page/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep
Red Flag Alert,Flow2 / FieldRep,field_rep,Field Rep Support,Field Rep Clinic Outcome Management Page,red-flag-alert-flow2-fieldrep-field-rep-clinic-outcome-management-page,1,7,Red Flag Alert / Clinic Outcomes,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-clinic-outcome-management-page/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-clinic-outcome-management-page/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep,https://help.cpdinclinic.co.in/support/field_rep/faq/page/red-flag-alert-flow2-fieldrep-field-rep-clinic-outcome-management-page/widget/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep&embed=1,https://help.cpdinclinic.co.in/support/api/field_rep/pages/red-flag-alert-flow2-fieldrep-field-rep-clinic-outcome-management-page/?system=Red+Flag+Alert&flow=Flow2+%2F+FieldRep
Patient Education,Flow2 / Patient,patient,Patient Support,Patient Page,patient-education-flow2-patient-patient-page,4,9,Patient Education / Patient Education Access | Patient Education / Clinic & Provider Information | Patient Education / Language Selection | Patient Education / Video Viewing,https://help.cpdinclinic.co.in/support/patient/faq/page/patient-education-flow2-patient-patient-page/?system=Patient+Education&flow=Flow2+%2F+Patient,https://help.cpdinclinic.co.in/support/patient/faq/page/patient-education-flow2-patient-patient-page/widget/?system=Patient+Education&flow=Flow2+%2F+Patient,https://help.cpdinclinic.co.in/support/patient/faq/page/patient-education-flow2-patient-patient-page/widget/?system=Patient+Education&flow=Flow2+%2F+Patient&embed=1,https://help.cpdinclinic.co.in/support/api/patient/pages/patient-education-flow2-patient-patient-page/?system=Patient+Education&flow=Flow2+%2F+Patient
Red Flag Alert,Flow3 / Patient,patient,Patient Support,T&C/WhatsApp verification Page,red-flag-alert-flow3-patient-tcwhatsapp-verification-page,1,4,Red Flag Alert / Consent & Access,https://help.cpdinclinic.co.in/support/patient/faq/page/red-flag-alert-flow3-patient-tcwhatsapp-verification-page/?system=Red+Flag+Alert&flow=Flow3+%2F+Patient,https://help.cpdinclinic.co.in/support/patient/faq/page/red-flag-alert-flow3-patient-tcwhatsapp-verification-page/widget/?system=Red+Flag+Alert&flow=Flow3+%2F+Patient,https://help.cpdinclinic.co.in/support/patient/faq/page/red-flag-alert-flow3-patient-tcwhatsapp-verification-page/widget/?system=Red+Flag+Alert&flow=Flow3+%2F+Patient&embed=1,https://help.cpdinclinic.co.in/support/api/patient/pages/red-flag-alert-flow3-patient-tcwhatsapp-verification-page/?system=Red+Flag+Alert&flow=Flow3+%2F+Patient
Red Flag Alert,Flow3 / Patient,patient,Patient Support,Patient Result Screen Page,red-flag-alert-flow3-patient-patient-result-screen-page,1,9,Red Flag Alert / Red Flag Results,https://help.cpdinclinic.co.in/support/patient/faq/page/red-flag-alert-flow3-patient-patient-result-screen-page/?system=Red+Flag+Alert&flow=Flow3+%2F+Patient,https://help.cpdinclinic.co.in/support/patient/faq/page/red-flag-alert-flow3-patient-patient-result-screen-page/widget/?system=Red+Flag+Alert&flow=Flow3+%2F+Patient,https://help.cpdinclinic.co.in/support/patient/faq/page/red-flag-alert-flow3-patient-patient-result-screen-page/widget/?system=Red+Flag+Alert&flow=Flow3+%2F+Patient&embed=1,https://help.cpdinclinic.co.in/support/api/patient/pages/red-flag-alert-flow3-patient-patient-result-screen-page/?system=Red+Flag+Alert&flow=Flow3+%2F+Patient
Red Flag Alert,Flow3 / Patient,patient,Patient Support,Patient RedFlags Embedded Video Page,red-flag-alert-flow3-patient-patient-redflags-embedded-video-page,1,1,Red Flag Alert / Video Education,https://help.cpdinclinic.co.in/support/patient/faq/page/red-flag-alert-flow3-patient-patient-redflags-embedded-video-page/?system=Red+Flag+Alert&flow=Flow3+%2F+Patient,https://help.cpdinclinic.co.in/support/patient/faq/page/red-flag-alert-flow3-patient-patient-redflags-embedded-video-page/widget/?system=Red+Flag+Alert&flow=Flow3+%2F+Patient,https://help.cpdinclinic.co.in/support/patient/faq/page/red-flag-alert-flow3-patient-patient-redflags-embedded-video-page/widget/?system=Red+Flag+Alert&flow=Flow3+%2F+Patient&embed=1,https://help.cpdinclinic.co.in/support/api/patient/pages/red-flag-alert-flow3-patient-patient-redflags-embedded-video-page/?system=Red+Flag+Alert&flow=Flow3+%2F+Patient
SAPLAICME,Student AI-CME Flow,student,Student Support,Role Selector Page,saplaicme-student-ai-cme-flow-role-selector-page,1,3,SAPLAICME / Access & Role Selection,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-role-selector-page/?system=SAPLAICME&flow=Student+AI-CME+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-role-selector-page/widget/?system=SAPLAICME&flow=Student+AI-CME+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-role-selector-page/widget/?system=SAPLAICME&flow=Student+AI-CME+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-ai-cme-flow-role-selector-page/?system=SAPLAICME&flow=Student+AI-CME+Flow
SAPLAICME,Student AI-CME Flow,student,Student Support,Student Registration Page,saplaicme-student-ai-cme-flow-student-registration-page,1,3,SAPLAICME / Registration & Login,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-student-registration-page/?system=SAPLAICME&flow=Student+AI-CME+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-student-registration-page/widget/?system=SAPLAICME&flow=Student+AI-CME+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-student-registration-page/widget/?system=SAPLAICME&flow=Student+AI-CME+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-ai-cme-flow-student-registration-page/?system=SAPLAICME&flow=Student+AI-CME+Flow
SAPLAICME,Student AI-CME Flow,student,Student Support,Login Page,saplaicme-student-ai-cme-flow-login-page,1,3,SAPLAICME / Registration & Login,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-login-page/?system=SAPLAICME&flow=Student+AI-CME+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-login-page/widget/?system=SAPLAICME&flow=Student+AI-CME+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-login-page/widget/?system=SAPLAICME&flow=Student+AI-CME+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-ai-cme-flow-login-page/?system=SAPLAICME&flow=Student+AI-CME+Flow
SAPLAICME,Student AI-CME Flow,student,Student Support,Student Dashboard,saplaicme-student-ai-cme-flow-student-dashboard,1,6,SAPLAICME / Dashboard & Navigation,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-student-dashboard/?system=SAPLAICME&flow=Student+AI-CME+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-student-dashboard/widget/?system=SAPLAICME&flow=Student+AI-CME+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-student-dashboard/widget/?system=SAPLAICME&flow=Student+AI-CME+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-ai-cme-flow-student-dashboard/?system=SAPLAICME&flow=Student+AI-CME+Flow
SAPLAICME,Student AI-CME Flow,student,Student Support,Checkout Page,saplaicme-student-ai-cme-flow-checkout-page,1,5,SAPLAICME / Payments & Credits,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-checkout-page/?system=SAPLAICME&flow=Student+AI-CME+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-checkout-page/widget/?system=SAPLAICME&flow=Student+AI-CME+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-checkout-page/widget/?system=SAPLAICME&flow=Student+AI-CME+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-ai-cme-flow-checkout-page/?system=SAPLAICME&flow=Student+AI-CME+Flow
SAPLAICME,Student AI-CME Flow,student,Student Support,AI-CME Dashboard,saplaicme-student-ai-cme-flow-ai-cme-dashboard,1,6,SAPLAICME / AI-CME Access,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-ai-cme-dashboard/?system=SAPLAICME&flow=Student+AI-CME+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-ai-cme-dashboard/widget/?system=SAPLAICME&flow=Student+AI-CME+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-ai-cme-flow-ai-cme-dashboard/widget/?system=SAPLAICME&flow=Student+AI-CME+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-ai-cme-flow-ai-cme-dashboard/?system=SAPLAICME&flow=Student+AI-CME+Flow
SAPLAICME,Student Lecture Flow,student,Student Support,Role Selector Page,saplaicme-student-lecture-flow-role-selector-page,1,4,SAPLAICME / Access & Role Selection,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-role-selector-page/?system=SAPLAICME&flow=Student+Lecture+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-role-selector-page/widget/?system=SAPLAICME&flow=Student+Lecture+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-role-selector-page/widget/?system=SAPLAICME&flow=Student+Lecture+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-lecture-flow-role-selector-page/?system=SAPLAICME&flow=Student+Lecture+Flow
SAPLAICME,Student Lecture Flow,student,Student Support,Login Page,saplaicme-student-lecture-flow-login-page,1,6,SAPLAICME / Registration & Login,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-login-page/?system=SAPLAICME&flow=Student+Lecture+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-login-page/widget/?system=SAPLAICME&flow=Student+Lecture+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-login-page/widget/?system=SAPLAICME&flow=Student+Lecture+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-lecture-flow-login-page/?system=SAPLAICME&flow=Student+Lecture+Flow
SAPLAICME,Student Lecture Flow,student,Student Support,Student Dashboard,saplaicme-student-lecture-flow-student-dashboard,1,3,SAPLAICME / Dashboard & Navigation,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-student-dashboard/?system=SAPLAICME&flow=Student+Lecture+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-student-dashboard/widget/?system=SAPLAICME&flow=Student+Lecture+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-student-dashboard/widget/?system=SAPLAICME&flow=Student+Lecture+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-lecture-flow-student-dashboard/?system=SAPLAICME&flow=Student+Lecture+Flow
SAPLAICME,Student Lecture Flow,student,Student Support,Checkout Page,saplaicme-student-lecture-flow-checkout-page,1,4,SAPLAICME / Payments & Credits,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-checkout-page/?system=SAPLAICME&flow=Student+Lecture+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-checkout-page/widget/?system=SAPLAICME&flow=Student+Lecture+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-checkout-page/widget/?system=SAPLAICME&flow=Student+Lecture+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-lecture-flow-checkout-page/?system=SAPLAICME&flow=Student+Lecture+Flow
SAPLAICME,Student Lecture Flow,student,Student Support,Course Details Page,saplaicme-student-lecture-flow-course-details-page,1,6,SAPLAICME / Recorded Lectures / Learning Access,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-course-details-page/?system=SAPLAICME&flow=Student+Lecture+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-course-details-page/widget/?system=SAPLAICME&flow=Student+Lecture+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-course-details-page/widget/?system=SAPLAICME&flow=Student+Lecture+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-lecture-flow-course-details-page/?system=SAPLAICME&flow=Student+Lecture+Flow
SAPLAICME,Student Lecture Flow,student,Student Support,Course Lectures Page,saplaicme-student-lecture-flow-course-lectures-page,1,16,SAPLAICME / Recorded Lectures / Learning Access,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-course-lectures-page/?system=SAPLAICME&flow=Student+Lecture+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-course-lectures-page/widget/?system=SAPLAICME&flow=Student+Lecture+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-lecture-flow-course-lectures-page/widget/?system=SAPLAICME&flow=Student+Lecture+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-lecture-flow-course-lectures-page/?system=SAPLAICME&flow=Student+Lecture+Flow
SAPLAICME,Student Webinar Flow,student,Student Support,Role Selector Page,saplaicme-student-webinar-flow-role-selector-page,1,4,SAPLAICME / Access & Role Selection,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-role-selector-page/?system=SAPLAICME&flow=Student+Webinar+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-role-selector-page/widget/?system=SAPLAICME&flow=Student+Webinar+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-role-selector-page/widget/?system=SAPLAICME&flow=Student+Webinar+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-webinar-flow-role-selector-page/?system=SAPLAICME&flow=Student+Webinar+Flow
SAPLAICME,Student Webinar Flow,student,Student Support,Login Page,saplaicme-student-webinar-flow-login-page,1,6,SAPLAICME / Registration & Login,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-login-page/?system=SAPLAICME&flow=Student+Webinar+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-login-page/widget/?system=SAPLAICME&flow=Student+Webinar+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-login-page/widget/?system=SAPLAICME&flow=Student+Webinar+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-webinar-flow-login-page/?system=SAPLAICME&flow=Student+Webinar+Flow
SAPLAICME,Student Webinar Flow,student,Student Support,Student Webinar Dashboard,saplaicme-student-webinar-flow-student-webinar-dashboard,1,5,SAPLAICME / Dashboard & Webinars,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-student-webinar-dashboard/?system=SAPLAICME&flow=Student+Webinar+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-student-webinar-dashboard/widget/?system=SAPLAICME&flow=Student+Webinar+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-student-webinar-dashboard/widget/?system=SAPLAICME&flow=Student+Webinar+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-webinar-flow-student-webinar-dashboard/?system=SAPLAICME&flow=Student+Webinar+Flow
SAPLAICME,Student Webinar Flow,student,Student Support,Student Webinar Library,saplaicme-student-webinar-flow-student-webinar-library,1,6,SAPLAICME / Dashboard & Webinars,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-student-webinar-library/?system=SAPLAICME&flow=Student+Webinar+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-student-webinar-library/widget/?system=SAPLAICME&flow=Student+Webinar+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-student-webinar-library/widget/?system=SAPLAICME&flow=Student+Webinar+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-webinar-flow-student-webinar-library/?system=SAPLAICME&flow=Student+Webinar+Flow
SAPLAICME,Student Webinar Flow,student,Student Support,Webinar Info Page,saplaicme-student-webinar-flow-webinar-info-page,1,3,SAPLAICME / Dashboard & Webinars,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-webinar-info-page/?system=SAPLAICME&flow=Student+Webinar+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-webinar-info-page/widget/?system=SAPLAICME&flow=Student+Webinar+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-webinar-info-page/widget/?system=SAPLAICME&flow=Student+Webinar+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-webinar-flow-webinar-info-page/?system=SAPLAICME&flow=Student+Webinar+Flow
SAPLAICME,Student Webinar Flow,student,Student Support,Certificate Page,saplaicme-student-webinar-flow-certificate-page,1,4,SAPLAICME / Certificates,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-certificate-page/?system=SAPLAICME&flow=Student+Webinar+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-certificate-page/widget/?system=SAPLAICME&flow=Student+Webinar+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-certificate-page/widget/?system=SAPLAICME&flow=Student+Webinar+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-webinar-flow-certificate-page/?system=SAPLAICME&flow=Student+Webinar+Flow
SAPLAICME,Student Webinar Flow,student,Student Support,Webinar Payments Page,saplaicme-student-webinar-flow-webinar-payments-page,1,3,SAPLAICME / Payments & Booking,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-webinar-payments-page/?system=SAPLAICME&flow=Student+Webinar+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-webinar-payments-page/widget/?system=SAPLAICME&flow=Student+Webinar+Flow,https://help.cpdinclinic.co.in/support/student/faq/page/saplaicme-student-webinar-flow-webinar-payments-page/widget/?system=SAPLAICME&flow=Student+Webinar+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/student/pages/saplaicme-student-webinar-flow-webinar-payments-page/?system=SAPLAICME&flow=Student+Webinar+Flow
SAPLAICME,Expert Webinar Flow,expert,Expert Support,Role Selector Page,saplaicme-expert-webinar-flow-role-selector-page,1,3,SAPLAICME / Access & Role Selection,https://help.cpdinclinic.co.in/support/expert/faq/page/saplaicme-expert-webinar-flow-role-selector-page/?system=SAPLAICME&flow=Expert+Webinar+Flow,https://help.cpdinclinic.co.in/support/expert/faq/page/saplaicme-expert-webinar-flow-role-selector-page/widget/?system=SAPLAICME&flow=Expert+Webinar+Flow,https://help.cpdinclinic.co.in/support/expert/faq/page/saplaicme-expert-webinar-flow-role-selector-page/widget/?system=SAPLAICME&flow=Expert+Webinar+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/expert/pages/saplaicme-expert-webinar-flow-role-selector-page/?system=SAPLAICME&flow=Expert+Webinar+Flow
SAPLAICME,Expert Webinar Flow,expert,Expert Support,Expert Registration Page,saplaicme-expert-webinar-flow-expert-registration-page,1,4,SAPLAICME / Registration & Profile Setup,https://help.cpdinclinic.co.in/support/expert/faq/page/saplaicme-expert-webinar-flow-expert-registration-page/?system=SAPLAICME&flow=Expert+Webinar+Flow,https://help.cpdinclinic.co.in/support/expert/faq/page/saplaicme-expert-webinar-flow-expert-registration-page/widget/?system=SAPLAICME&flow=Expert+Webinar+Flow,https://help.cpdinclinic.co.in/support/expert/faq/page/saplaicme-expert-webinar-flow-expert-registration-page/widget/?system=SAPLAICME&flow=Expert+Webinar+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/expert/pages/saplaicme-expert-webinar-flow-expert-registration-page/?system=SAPLAICME&flow=Expert+Webinar+Flow
SAPLAICME,Expert Webinar Flow,expert,Expert Support,Expert Webinar Dashboard,saplaicme-expert-webinar-flow-expert-webinar-dashboard,2,8,SAPLAICME / Dashboard & Navigation | SAPLAICME / Webinar Management,https://help.cpdinclinic.co.in/support/expert/faq/page/saplaicme-expert-webinar-flow-expert-webinar-dashboard/?system=SAPLAICME&flow=Expert+Webinar+Flow,https://help.cpdinclinic.co.in/support/expert/faq/page/saplaicme-expert-webinar-flow-expert-webinar-dashboard/widget/?system=SAPLAICME&flow=Expert+Webinar+Flow,https://help.cpdinclinic.co.in/support/expert/faq/page/saplaicme-expert-webinar-flow-expert-webinar-dashboard/widget/?system=SAPLAICME&flow=Expert+Webinar+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/expert/pages/saplaicme-expert-webinar-flow-expert-webinar-dashboard/?system=SAPLAICME&flow=Expert+Webinar+Flow
SAPLAICME,Expert Webinar Flow,expert,Expert Support,Webinar Info Page,saplaicme-expert-webinar-flow-webinar-info-page,3,19,SAPLAICME / Webinar Management | SAPLAICME / Materials Management | SAPLAICME / Recording Management,https://help.cpdinclinic.co.in/support/expert/faq/page/saplaicme-expert-webinar-flow-webinar-info-page/?system=SAPLAICME&flow=Expert+Webinar+Flow,https://help.cpdinclinic.co.in/support/expert/faq/page/saplaicme-expert-webinar-flow-webinar-info-page/widget/?system=SAPLAICME&flow=Expert+Webinar+Flow,https://help.cpdinclinic.co.in/support/expert/faq/page/saplaicme-expert-webinar-flow-webinar-info-page/widget/?system=SAPLAICME&flow=Expert+Webinar+Flow&embed=1,https://help.cpdinclinic.co.in/support/api/expert/pages/saplaicme-expert-webinar-flow-webinar-info-page/?system=SAPLAICME&flow=Expert+Webinar+Flow
